date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:36:41	116267/116267	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Apr%202023%2009:24:22%20GMT	https://peacefulqode.com/themes/techtrix/html/main-home.html	peacefulqode.com/themes/techtrix/html/main-home.html	(from )
10:36:43	123/123	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Tue,%2011%20Apr%202023%2009:36:43%20GMT	https://peacefulqode.com/robots.txt		(from )
10:36:43	10806/10806	---M-Z	200	added ('OK')	image/x-icon	date:Thu,%2006%20Apr%202023%2009:26:08%20GMT	https://peacefulqode.com/themes/techtrix/html/images/favicon.ico	peacefulqode.com/themes/techtrix/html/images/favicon.ico	(from https://peacefulqode.com/themes/techtrix/html/main-home.html)
10:36:45	194699/194699	---MCZ	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2009:24:48%20GMT	https://peacefulqode.com/themes/techtrix/html/css/bootstrap.min.css	peacefulqode.com/themes/techtrix/html/css/bootstrap.min.css	(from https://peacefulqode.com/themes/techtrix/html/main-home.html)
10:36:46	9742/9742	---MCZ	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2009:34:08%20GMT	https://peacefulqode.com/themes/techtrix/html/rev/fonts/pe-icon-7-stroke/css/pe-icon-7-stroke.css	peacefulqode.com/themes/techtrix/html/rev/fonts/pe-icon-7-stroke/css/pe-icon-7-stroke.css	(from https://peacefulqode.com/themes/techtrix/html/main-home.html)
10:36:46	36903/36903	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2009:33:55%20GMT	https://peacefulqode.com/themes/techtrix/html/rev/fonts/font-awesome/css/font-awesome.css	peacefulqode.com/themes/techtrix/html/rev/fonts/font-awesome/css/font-awesome.css	(from https://peacefulqode.com/themes/techtrix/html/main-home.html)
10:36:48	85559/85559	---MCZ	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2009:33:39%20GMT	https://peacefulqode.com/themes/techtrix/html/rev/css/rs6.css	peacefulqode.com/themes/techtrix/html/rev/css/rs6.css	(from https://peacefulqode.com/themes/techtrix/html/main-home.html)
10:36:49	3351/3351	---MCZ	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2009:24:52%20GMT	https://peacefulqode.com/themes/techtrix/html/css/owl.carousel.min.css	peacefulqode.com/themes/techtrix/html/css/owl.carousel.min.css	(from https://peacefulqode.com/themes/techtrix/html/main-home.html)
10:36:49	18468/18468	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2009:24:43%20GMT	https://peacefulqode.com/themes/techtrix/html/css/animations.min.css	peacefulqode.com/themes/techtrix/html/css/animations.min.css	(from https://peacefulqode.com/themes/techtrix/html/main-home.html)
10:36:50	7355/7355	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2009:24:51%20GMT	https://peacefulqode.com/themes/techtrix/html/css/magnific-popup.min.css	peacefulqode.com/themes/techtrix/html/css/magnific-popup.min.css	(from https://peacefulqode.com/themes/techtrix/html/main-home.html)
10:36:52	82023/82023	---MCZ	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2009:25:48%20GMT	https://peacefulqode.com/themes/techtrix/html/fonts/font-awesome/css/all.min.css	peacefulqode.com/themes/techtrix/html/fonts/font-awesome/css/all.min.css	(from https://peacefulqode.com/themes/techtrix/html/main-home.html)
10:36:52	2294/2294	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2009:25:32%20GMT	https://peacefulqode.com/themes/techtrix/html/fonts/flaticon/font/flaticon.css	peacefulqode.com/themes/techtrix/html/fonts/flaticon/font/flaticon.css	(from https://peacefulqode.com/themes/techtrix/html/main-home.html)
10:36:53	51329/51329	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2009:24:49%20GMT	https://peacefulqode.com/themes/techtrix/html/css/ionicons.min.css	peacefulqode.com/themes/techtrix/html/css/ionicons.min.css	(from https://peacefulqode.com/themes/techtrix/html/main-home.html)
10:36:54	16405/16405	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2009:25:17%20GMT	https://peacefulqode.com/themes/techtrix/html/fonts/themify-icons/themify-icons.css	peacefulqode.com/themes/techtrix/html/fonts/themify-icons/themify-icons.css	(from https://peacefulqode.com/themes/techtrix/html/main-home.html)
10:36:56	135821/135821	---MCZ	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2012:19:12%20GMT	https://peacefulqode.com/themes/techtrix/html/css/style.css	peacefulqode.com/themes/techtrix/html/css/style.css	(from https://peacefulqode.com/themes/techtrix/html/main-home.html)
10:36:57	33756/33756	---MCZ	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2009:24:56%20GMT	https://peacefulqode.com/themes/techtrix/html/css/responsive.css	peacefulqode.com/themes/techtrix/html/css/responsive.css	(from https://peacefulqode.com/themes/techtrix/html/main-home.html)
10:36:58	13749/13749	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202023%2009:28:09%20GMT	https://peacefulqode.com/themes/techtrix/html/images/logos/logo-1.png	peacefulqode.com/themes/techtrix/html/images/logos/logo-1.png	(from https://peacefulqode.com/themes/techtrix/html/main-home.html)
10:36:59	13749/13749	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202023%2009:28:10%20GMT	https://peacefulqode.com/themes/techtrix/html/images/logos/logo.png	peacefulqode.com/themes/techtrix/html/images/logos/logo.png	(from https://peacefulqode.com/themes/techtrix/html/main-home.html)
